,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
54,2018-01-01,01,Svenskegrensen til Jæren,LAKS,green,6286393,7593363
55,2018-01-01,02,Ryfylket,LAKS,yellow,18591636,32775048
56,2018-01-01,03,Karmøy til Sotra,LAKS,red,44311636,97239721
58,2018-01-01,04,Nordhordland til Stadt,LAKS,red,37793696,73985062
60,2018-01-01,05,Stadt til Hustadvika,LAKS,yellow,13361104,30137021
62,2018-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,62270219,135850100
64,2018-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,26178801,55912394
65,2018-01-01,08,Helgeland til Bodø,LAKS,green,39795138,81806259
66,2018-01-01,09,Vestfjorden og Vesterålen,LAKS,green,29627359,44786026
68,2018-01-01,10,Andøya til Senja,LAKS,green,34478459,67439542
69,2018-01-01,11,Kvaløy til Loppa,LAKS,green,20684753,42136297
70,2018-01-01,12,Vest-Finnmark,LAKS,green,34214606,61461099
71,2018-01-01,13,Øst-Finnmark,LAKS,green,2254948,6422575
72,2018-02-01,01,Svenskegrensen til Jæren,LAKS,green,5699273,5137994
73,2018-02-01,02,Ryfylket,LAKS,yellow,17863887,32074114
74,2018-02-01,03,Karmøy til Sotra,LAKS,red,41542001,93439789
76,2018-02-01,04,Nordhordland til Stadt,LAKS,red,35241993,69833197
78,2018-02-01,05,Stadt til Hustadvika,LAKS,yellow,12546717,28905265
80,2018-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,60450716,135116248
82,2018-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,24280167,51916137
83,2018-02-01,08,Helgeland til Bodø,LAKS,green,39361365,82688287
84,2018-02-01,09,Vestfjorden og Vesterålen,LAKS,green,28281672,45215840
86,2018-02-01,10,Andøya til Senja,LAKS,green,33077595,66627762
87,2018-02-01,11,Kvaløy til Loppa,LAKS,green,20018287,42568364
88,2018-02-01,12,Vest-Finnmark,LAKS,green,32363051,57716683
89,2018-02-01,13,Øst-Finnmark,LAKS,green,1889454,4606692
90,2018-03-01,01,Svenskegrensen til Jæren,LAKS,green,5654524,5464255
91,2018-03-01,02,Ryfylket,LAKS,yellow,17325363,30893682
92,2018-03-01,03,Karmøy til Sotra,LAKS,red,46124525,88607481
94,2018-03-01,04,Nordhordland til Stadt,LAKS,red,33781489,62132041
96,2018-03-01,05,Stadt til Hustadvika,LAKS,yellow,12133450,28326180
98,2018-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,65276906,130184273
100,2018-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,22584309,49202461
101,2018-03-01,08,Helgeland til Bodø,LAKS,green,38090680,83970067
102,2018-03-01,09,Vestfjorden og Vesterålen,LAKS,green,27697571,46926271
104,2018-03-01,10,Andøya til Senja,LAKS,green,31842082,64303862
105,2018-03-01,11,Kvaløy til Loppa,LAKS,green,20484461,40823597
106,2018-03-01,12,Vest-Finnmark,LAKS,green,30108335,52086861
